OBJECTID,shortName,cableSystem,owner,status,region
477,SAm 1 I,South America 1,Telxius,In Service,East Coast
478,GlobeNet 1,GlobeNet Cable System,GlobeNet,In Service,East Coast
479,GlobeNet 2,GlobeNet Cable System,GlobeNet,In Service,East Coast
480,CFX 1,CFX 1,Liberty Latin America,In Service,East Coast
481,Columbus II-A,Columbus II Cable System,AT&T Corp,In Service,East Coast
482,Columbus III,Columbus III,AT&T Corp,Out of Service,East Coast
483,Americas II-12,Americas II Cable System,"Embratel, AT&T, Verizon, T-Mobile, CANTV, Tata, and others",In Service,East Coast
484,Columbus II-B,Columbus II Cable System,AT&T Corp,In Service,East Coast
485,,Florico 2 ,AT&T Corp,Out of Service,East Coast
486,,Florida Puerto Rico N-S,AT&T Corp,Out of Service,East Coast
487,,Florida Puerto Rico S-N,AT&T Corp,Out of Service,East Coast
488,,Florida Jamaica,AT&T Corp,Out of Service,East Coast
489, ARCOS 1-8,Americas Region Caribbean Optical-Ring System,ARCOS-1 USA Inc,In Service,Caribbean
490,ARCOS 1-7,Americas Region Caribbean Optical-Ring System,ARCOS-1 USA Inc,In Service,Caribbean
491,SAm 1-H,South America 1,Telxius,In Service,East Coast
492,SAm 1-H,South America 1,Telxius,In Service,Caribbean
493,GlobeNet 2-1,GlobeNet,GlobeNet,In Service,Caribbean
494,MAC 1-2,Mid-Atlantic Crossing,Lumen Technologies Inc,In Service,Caribbean
495,Unity,Unity Cable System,GU Holdings Inc,In Service,West Coast
496,TGN G5,TGN Pacific,TATA Communications,In Service,West Coast
497,SEA U.S.,Southeast Asia U.S.,Michael Wyse,In Service,West Coast
498,,Offshore Power Cables for Santa Ynez Unit,Exxon Mobil,In Service,West Coast
499,PC1 E,Pacific Crossing,NTT Communications Ltd,In Service,West Coast
500,TPC 5-CN,Trans-Pacific Cable 5 Network,AT&T Corp,In Service,West Coast
501,AAG,Asia America Gateway,AT&T and Partners,In Service,West Coast
502,TBC,Trans-Bay Cable,SteelRiver Transmission Company,In Service,West Coast
503,FASTER,FASTER Cable System,GU Holdings Inc,In Service,West Coast
504,TPC 5-CN,Trans-Pacific Cable 5 Network,AT&T Corp,In Service,West Coast
505,AKORN 2.2,AKORN,Alaska Communications,In Service,West Coast
506,,RSN Backbone Cable,Coastal Endurance Array Cables,In Service,West Coast
507,Hawaiki T4,Hawaiki System,Hawaiki Submarine Cable LP,In Service,West Coast
508,,RSN Backbone Cable,Coastal Endurance Array Cables,In Service,West Coast
509,TGN G6,TGN Pacific,TATA Communications,In Service,West Coast
