ID_Punto,Nome_Punto,Longitudine,Latitudine,is_tbd
cork-ireland,"Cork, Ireland",-8.472771324965343,51.89833468681305,False
milton-nl-canada,"Milton, NL, Canada",-53.96023910121645,48.20761257904667,False
pacific-city-or-united-states,"Pacific City, OR, United States",-123.9626309171155,45.201924825052444,False
labuan-bajo-indonesia,"Labuan Bajo, Indonesia",119.90756399999964,-8.475551000000419,False
sape-indonesia,"Sape, Indonesia",118.97619999999958,-8.505600000000262,False
ende-indonesia,"Ende, Indonesia",121.64273999999965,-8.845699000000248,False
sumbawa-besar-indonesia,"Sumbawa Besar, Indonesia",118.08221700000053,-8.84115000000092,False
bima-indonesia,"Bima, Indonesia",118.74490299999954,-8.464266,False
island-park-ny-united-states,"Island Park, NY, United States",-73.6559282736054,40.60030327678829,False
danang-vietnam,"Danang, Vietnam",108.21474366875417,16.051559827539638,False
mersing-malaysia,"Mersing, Malaysia",103.84990301084824,2.295511672819276,False
tuas-singapore,"Tuas, Singapore",103.64707112328632,1.338192522185158,False
tuckerton-nj-united-states,"Tuckerton, NJ, United States",-74.33791021235805,39.60388495499803,False
st-davids-bermuda,"St. David’s, Bermuda",-64.76950878757832,32.31223462116531,False
boca-raton-fl-united-states,"Boca Raton, FL, United States",-80.08894373592818,26.350323169523403,False
naha-japan,"Naha, Japan",127.68055019149426,26.21241384638718,False
toucheng-taiwan,"Toucheng, Taiwan",121.80145279380189,24.863592858849902,False
karachi-pakistan,"Karachi, Pakistan",67.02854237669561,24.88937409747322,False
haramous-djibouti,"Haramous, Djibouti",43.16166943911836,11.57367892559012,False
yeroskipos-cyprus,"Yeroskipos, Cyprus",32.46655514198169,34.76641137968897,False
marmaris-turkey,"Marmaris, Turkey",28.25366750143074,36.85524944302755,False
suva-fiji,"Suva, Fiji",178.43744782858172,-18.123812280017187,False
magens-bay-vi-united-states,"Magen’s Bay, VI, United States",-64.93708679386458,18.372989080105853,False
maruyama-japan,"Maruyama, Japan",139.97546699999984,35.005432999999265,False
makaha-hi-united-states,"Makaha, HI, United States",-158.2206478576183,21.463431186887963,False
morro-bay-ca-united-states,"Morro Bay, CA, United States",-120.84720343661348,35.3666813511006,False
porthcurno-united-kingdom,"Porthcurno, United Kingdom",-5.654511602696961,50.043048657721435,False
estepona-spain,"Estepona, Spain",-5.145869384899948,36.42710220192439,False
palermo-italy,"Palermo, Italy",13.358365553402518,38.12150089552133,False
alexandria-egypt,"Alexandria, Egypt",29.889799154879793,31.191886381300385,False
suez-egypt,"Suez, Egypt",32.53012931569517,29.9722883988634,False
fujairah-united-arab-emirates,"Fujairah, United Arab Emirates",56.33372573425405,25.12169311729696,False
penang-malaysia,"Penang, Malaysia",100.40982400223058,5.368393581488473,False
songkhla-thailand,"Songkhla, Thailand",100.5951000000003,7.198819999999446,False
lantau-island-china,"Lantau Island, China",113.94833335702553,22.271491582355683,False
miura-japan,"Miura, Japan",139.6206784517453,35.14403408076397,False
savona-italy,"Savona, Italy",8.483759631619103,44.305540140669045,False
baby-beach-aruba,"Baby Beach, Aruba",-69.87868485568913,12.414141621401608,False
halifax-ns-canada,"Halifax, NS, Canada",-63.573952993896306,44.64579771640326,False
lynn-ma-united-states,"Lynn, MA, United States",-70.95026612782192,42.46366906639672,False
dublin-ireland,"Dublin, Ireland",-6.248261182079236,53.348045408252375,False
southport-united-kingdom,"Southport, United Kingdom",-3.006368947416131,53.64793071295795,False
bude-united-kingdom,"Bude, United Kingdom",-4.544404967232005,50.82811048000128,False
san-juan-pr-united-states,"San Juan, PR, United States",-66.10666604344867,18.465839112933374,False
rio-de-janeiro-brazil,"Rio de Janeiro, Brazil",-43.209563123346165,-22.90339400756494,False
santos-brazil,"Santos, Brazil",-46.32806677354495,-23.961845467703107,False
las-toninas-argentina,"Las Toninas, Argentina",-56.695491069788275,-36.47252952471871,False
valparaso-chile,"Valparaíso, Chile",-71.62048049678572,-33.045765558769304,False
arica-chile,"Arica, Chile",-70.30671189622174,-18.473810108334412,False
lurin-peru,"Lurin, Peru",-76.87428536869109,-12.278527239265857,False
puerto-san-jose-guatemala,"Puerto San Jose, Guatemala",-90.82221860307868,13.93461171167569,False
puerto-barrios-guatemala,"Puerto Barrios, Guatemala",-88.59723848982233,15.727143540875408,False
mazara-del-vallo-italy,"Mazara del Vallo, Italy",12.591276253065702,37.650130188288585,False
sesimbra-portugal,"Sesimbra, Portugal",-9.1027513474316,38.44269349871853,False
goonhilly-downs-united-kingdom,"Goonhilly Downs, United Kingdom",-5.174531473969396,50.0248026869269,False
sylt-germany,"Sylt, Germany",8.383369077736644,54.89850565849031,False
dakar-senegal,"Dakar, Senegal",-17.451915354680473,14.686597713745336,False
conil-de-la-frontera-spain,"Conil de la Frontera, Spain",-6.087226139907921,36.2765632358394,False
nassau-bahamas,"Nassau, Bahamas",-77.34025183547105,25.067038149721757,False
crooked-island-bahamas,"Crooked Island, Bahamas",-74.19499039172877,22.629711836470232,False
providenciales-turks-and-caicos-islands,"Providenciales, Turks and Caicos Islands",-72.12023600213026,21.851092241181057,False
punta-cana-dominican-republic,"Punta Cana, Dominican Republic",-68.43825618860332,18.621279512611874,False
puerto-plata-dominican-republic,"Puerto Plata, Dominican Republic",-70.6912331081983,19.79934388457018,False
riohacha-colombia,"Riohacha, Colombia",-72.95270611552462,11.482908943707109,False
bluefields-nicaragua,"Bluefields, Nicaragua",-83.77146065844866,11.991778023043153,False
puerto-lempira-honduras,"Puerto Lempira, Honduras",-83.77675850625805,15.261220674450207,False
trujillo-honduras,"Trujillo, Honduras",-85.95475989302918,15.915150827636316,False
puerto-cortes-honduras,"Puerto Cortes, Honduras",-87.94606707611828,15.844797765849421,False
hillsboro-or-united-states,"Hillsboro, OR, United States",-122.98980067645105,45.522898824562965,False
kahe-point-hi-united-states,"Kahe Point, HI, United States",-158.1305815657343,21.35398165191293,False
samandag-turkey,"Samandag, Turkey",35.99926748312506,36.08233778303261,False
girne-cyprus,"Girne, Cyprus",33.23628115920059,35.2991225036909,False
bozyazi-turkey,"Bozyazi, Turkey",32.966701999999856,36.09999800000024,False
daet-philippines,"Daet, Philippines",122.94988948023871,14.116616393710665,False
st-ouens-bay-jersey,"St. Ouens Bay, Jersey",-2.225900750307065,49.215711233966566,False
archirondel-jersey,"Archirondel, Jersey",-2.021311051490342,49.22527885088672,False
surville-france,"Surville, France",-1.650022252014811,49.28329065675959,False
greve-de-lecq-jersey,"Greve de Lecq, Jersey",-2.201437877011841,49.24794670647614,False
havelet-bay-guernsey,"Havelet Bay, Guernsey",-2.529513816474767,49.4509894968767,False
new-victoria-ns-canada,"New Victoria, NS, Canada",-60.12957066830409,46.25290729969465,False
rose-blanche-nl-canada,"Rose Blanche, NL, Canada",-58.68660294051598,47.61768929491325,False
lancresse-bay-guernsey,"L'Ancresse Bay, Guernsey",-2.533468891797979,49.503393052866365,False
saints-bay-guernsey,"Saints Bay, Guernsey",-2.55802942127399,49.42332555697762,False
pembroke-guernsey,"Pembroke, Guernsey",-2.537619279482766,49.50954423335227,False
malabo-equatorial-guinea,"Malabo, Equatorial Guinea",8.783368794372972,3.749792920040749,False
palma-spain,"Palma, Spain",2.60524817101164,39.55232558289561,False
santa-cruz-de-la-palma-canary-islands-spain,"Santa Cruz de La Palma, Canary Islands, Spain",-17.76524521083967,28.663181918946645,False
granadilla-de-abona-spain,"Granadilla de Abona, Spain",-16.518053538916995,28.059115806261115,False
whitesands-bay-united-kingdom,"Whitesands Bay, United Kingdom",-5.6984568840657,50.07851709909518,False
durres-albania,"Durres, Albania",19.45006045673864,41.316693174085714,False
bridgetown-barbados,"Bridgetown, Barbados",-59.61336009649245,13.098954014787664,False
castries-saint-lucia,"Castries, Saint Lucia",-61.00681614060512,13.994222056803721,False
pointe-a-pitre-guadeloupe,"Pointe-a-Pitre, Guadeloupe",-61.53308529904113,16.241044022954217,False
roseau-dominica,"Roseau, Dominica",-61.37073189842878,15.251799221840017,False
the-valley-anguilla,"The Valley, Anguilla",-63.0572053130902,18.217405253293137,False
cagliari-italy,"Cagliari, Italy",9.109345125948376,39.21530980337921,False
civitavecchia-italy,"Civitavecchia, Italy",11.796843222099477,42.091130652249426,False
olbia-italy,"Olbia, Italy",9.49644289999974,40.923576400000215,False
khark-island-iran,"Khark Island, Iran",50.31205031256539,29.245773309269826,False
soroosh-platform-iran,"Soroosh Platform, Iran",49.47806652836741,29.072484050458698,False
diba-oman,"Diba, Oman",56.258042194119106,25.616974601949348,False
tanah-merah-singapore,"Tanah Merah, Singapore",103.9465826298595,1.327257988673153,False
nanhui-china,"Nanhui, China",121.92506915087795,30.864713861582327,False
west-palm-beach-fl-united-states,"West Palm Beach, FL, United States",-80.05334805801945,26.715357789296696,False
brookhaven-ny-united-states,"Brookhaven, NY, United States",-72.91227645666531,40.773148001414974,False
grover-beach-ca-united-states,"Grover Beach, CA, United States",-120.62142234655879,35.1206334382351,False
tijuana-mexico,"Tijuana, Mexico",-117.03822175993173,32.53084977596535,False
northport-ny-united-states,"Northport, NY, United States",-73.34411208824892,40.90945509894606,False
spencer-beach-hi-united-states,"Spencer Beach, HI, United States",-155.8220871073432,20.02310522788954,False
takapuna-new-zealand,"Takapuna, New Zealand",174.76791917811025,-36.78796527793357,False
whenuapai-new-zealand,"Whenuapai, New Zealand",174.6233880304975,-36.788806016342754,False
maldonado-uruguay,"Maldonado, Uruguay",-54.95017980618316,-34.900379504866834,False
fort-amador-panama,"Fort Amador, Panama",-79.54673220597367,8.934109660849998,False
nukualofa-tonga,"Nuku'alofa, Tonga",-175.2000320590245,-21.133285523298625,False
fresh-creek-bahamas,"Fresh Creek, Bahamas",-77.84460938833539,24.689806158505295,False
port-nelson-bahamas,"Port Nelson, Bahamas",-74.84054657503567,23.652143168499897,False
george-town-bahamas,"George Town, Bahamas",-75.78800684134592,23.516551982193732,False
clarence-town-bahamas,"Clarence Town, Bahamas",-74.96618125165993,23.09834303441083,False
cockburn-town-bahamas,"Cockburn Town, Bahamas",-74.53024406048189,24.05253194857149,False
governors-harbor-bahamas,"Governors Harbor, Bahamas",-76.24064323944407,25.196118966380833,False
duncan-town-bahamas,"Duncan Town, Bahamas",-75.73346586435832,22.183261833926533,False
mayaguana-bahamas,"Mayaguana, Bahamas",-73.0641318178386,22.40156502331468,False
kuala-tungkal-indonesia,"Kuala Tungkal, Indonesia",103.46670015731281,-0.816539442758962,False
batam-indonesia,"Batam, Indonesia",104.01664054897991,1.066796188550793,False
sakra-island-singapore,"Sakra Island, Singapore",103.70419998906566,1.258916074584671,False
shima-japan,"Shima, Japan",136.87439133474103,34.33683057441225,False
ajigaura-japan,"Ajigaura, Japan",140.61227931178595,36.38355921004956,False
beverwijk-netherlands,"Beverwijk, Netherlands",4.656906873847417,52.48631265079464,False
hiva-oa-french-polynesia,"Hiva Oa, French Polynesia",-139.02112549855988,-9.754675849911433,False
nuku-hiva-french-polynesia,"Nuku Hiva, French Polynesia",-140.14209638414113,-8.860487903690377,False
suro-guinea-bissau,"Suro, Guinea-Bissau",-15.791145687980318,11.774131923775238,False
duynefontein-south-africa,"Duynefontein, South Africa",18.449914853508062,-33.69332250414625,False
tuasivi-samoa,"Tuasivi, Samoa",-172.17816102572917,-13.670594022635894,False
puerto-montt-chile,"Puerto Montt, Chile",-72.9534112342951,-41.46037424479032,False
punta-arenas-chile,"Punta Arenas, Chile",-70.93333257585476,-53.16665547850115,False
puerto-williams-chile,"Puerto Williams, Chile",-67.6058614273846,-54.935200597435504,False
tortel-chile,"Tortel, Chile",-73.53688749922706,-47.80121466459952,False
buffalo-ny-united-states,"Buffalo, NY, United States",-78.87846124712107,42.88543648440449,False
toronto-on-canada,"Toronto, ON, Canada",-79.38531972935779,43.64855718648997,False
dania-beach-fl-united-states,"Dania Beach, FL, United States",-80.14394128131609,26.052316286427192,False
guantanamo-bay-cuba,"Guantanamo Bay, Cuba",-75.15816600469212,19.939616197540328,False
newcastle-united-kingdom,"Newcastle, United Kingdom",-1.617778331330762,54.978249214505595,False
endrup-denmark,"Endrup, Denmark",8.718388990908426,55.523118197393856,False
eemshaven-netherlands,"Eemshaven, Netherlands",6.816022174500881,53.4428046914825,False
pegwell-barbados,"Pegwell, Barbados",-59.53633378387061,13.062605447541747,False
georgetown-guyana,"Georgetown, Guyana",-58.15484062190828,6.804497184903389,False
mt-lavinia-sri-lanka,"Mt. Lavinia, Sri Lanka",79.86679011789853,6.833211066334108,False
kourou-french-guiana,"Kourou, French Guiana",-52.64555499899603,5.16829853939239,False
flying-fish-cove-christmas-island,"Flying Fish Cove, Christmas Island",105.69706984367991,-10.437358645528692,False
kikori-papua-new-guinea,"Kikori, Papua New Guinea",144.2402064292285,-7.413514034786931,False
kamorta-india,"Kamorta, India",93.48140933746261,8.172231912838134,False
ternate-indonesia,"Ternate, Indonesia",127.36133655044124,0.79580852872504,False
sofifi-indonesia,"Sofifi, Indonesia",127.56143406494019,0.734974159349461,False
tidore-indonesia,"Tidore, Indonesia",127.40408554359549,0.674004693399349,False
luwuk-indonesia,"Luwuk, Indonesia",122.79278509934603,-0.938827229844351,False
salakan-indonesia,"Salakan, Indonesia",123.3401968209294,-1.301013030053515,False
bangga-indonesia,"Bangga, Indonesia",123.5275341004328,-1.600278223931106,False
taliabu-indonesia,"Taliabu, Indonesia",124.7740581098555,-1.826840253714747,False
sanana-indonesia,"Sanana, Indonesia",125.93699673914386,-2.201449043927759,False
kendari-indonesia,"Kendari, Indonesia",122.51297572725252,-3.998447236539088,False
